organism	gene	rank	peaktime	periodicity_pvalue	regulation_pvalue
9606	ENSP00000403302	97	65	9.6778116034056e-11	4.57065693275979e-06
9606	ENSP00000355249	98	46	1.4006200131e-14	0.0342180069328164
9606	ENSP00000358813	99	83	1.14e-10	4.222292e-06
9606	ENSP00000372746	100	73	3.60848781072e-13	0.00138254437461175
9606	ENSP00000463999	101	80	8.7e-11	6.288352e-06
9606	ENSP00000263681	102	51	1.993547304e-14	0.038002805627286
9606	ENSP00000342307	103	86	2.2145011266e-13	0.00624397258053751
9606	ENSP00000432768	104	91	1.361926077876e-12	0.00109032456200584
9606	ENSP00000296273	105	52	3.1578004128e-14	0.0655787920226594
9606	ENSP00000272163	106	94	2.543779403091e-12	0.000925420057480446
9606	ENSP00000263464	107	83	8.06798945900855e-06	4.03716538295564e-10
9606	ENSP00000328228	108	78	3.6e-11	9.17391e-05
9606	ENSP00000264596	109	75	6e-11	7.707655e-05
9606	ENSP00000378529	110	82	1.802464883037e-12	0.00259937600445303
9606	ENSP00000254878	111	73	1.339003524e-13	0.0421806862713513
9606	ENSP00000298281	112	97	1.20893112200448e-09	4.71552239623804e-06
9606	ENSP00000309124	113	94	7.17443873004336e-06	8.1447908099766e-10
9606	ENSP00000264156	114	44	2.4996202816e-14	0.259426510527847
9606	ENSP00000227378	115	0	1.5830806753561e-09	4.46176506238848e-06
9606	ENSP00000281938	116	55	1.65033019683086e-08	4.68005808550585e-07
9606	ENSP00000343445	117	45	4.74203119104e-13	0.0200389695231631
9606	ENSP00000442068	118	85	1.638e-09	6.072651e-06
9606	ENSP00000296503	119	80	9.6655934016e-13	0.0161958025456263
9606	ENSP00000322524	120	73	2.55e-08	9.63736e-07
9606	ENSP00000301905	121	88	1.5554452336752e-11	0.00177042929444374
9606	ENSP00000358997	122	76	2.592e-09	1.0969855e-05
9606	ENSP00000306473	123	85	1.68269186112e-12	0.0193190868530011
9606	ENSP00000318089	124	92	1.956625346403e-12	0.0230901555865579
9606	ENSP00000341565	125	49	2.1537e-08	2.124986e-06
9606	ENSP00000370419	126	85	1.6737733728e-13	0.275866281391881
9606	ENSP00000307078	127	93	6.5510162651556e-11	0.000725484950202638
9606	ENSP00000360621	128	48	2.826191511e-13	0.184523828656046
9606	ENSP00000343526	129	56	1.5374641697415e-11	0.00370775075995171
9606	ENSP00000321656	130	83	5.05598911911264e-10	0.000134428957776035
9606	ENSP00000344504	131	65	3.27524552098665e-06	2.46538953163776e-08
9606	ENSP00000309790	132	82	8.9052071298309e-11	0.00103320179120047
9606	ENSP00000252329	133	91	1.0102221e-11	0.0095606969332329
9606	ENSP00000345571	134	46	1.20537573800986e-09	9.9478236976749e-05
9606	ENSP00000338082	135	94	1.122932914593e-11	0.0107202982173671
9606	ENSP00000353677	136	94	1.122932914593e-11	0.0107202982173671
9606	ENSP00000384703	137	54	7.89314734404e-12	0.0156514433758094
9606	ENSP00000330200	138	85	1.6773516937632e-11	0.00742581606623191
9606	ENSP00000311083	139	85	1.6773516937632e-11	0.00742581606623191
9606	ENSP00000296504	140	84	5.3063604405e-12	0.0236715012556668
9606	ENSP00000249776	141	96	8.80326691066368e-09	1.51615829476353e-05
9606	ENSP00000341382	142	85	1.3010956877835e-11	0.0112111828287073
9606	ENSP00000348316	143	87	4.34548877355e-12	0.0363438293122103
9606	ENSP00000218388	144	76	7.25106059796058e-08	2.32110130967104e-06
9606	ENSP00000367049	145	91	1.0163767240368e-11	0.0167239542028789
9606	ENSP00000325546	146	96	1.325461888296e-12	0.130544434351774
9606	ENSP00000302586	147	96	1.325461888296e-12	0.130544434351774
9606	ENSP00000306968	148	36	2.8345573555824e-11	0.00787755682608137
9606	ENSP00000258743	149	80	0.000147636945002965	1.5396729507072e-09
9606	ENSP00000369614	150	85	3.83251409275e-13	0.688097000955228
9606	ENSP00000274255	151	39	2.54917908051e-11	0.0114588609285056
9606	ENSP00000232458	153	93	8.0403e-08	3.93078e-06
9606	ENSP00000301945	154	3	2.33855413748352e-10	0.00177234370458812
9606	ENSP00000357858	155	85	2.651115018966e-11	0.0180736429166456
9606	ENSP00000270176	156	81	4.9656e-08	1.02998e-05
9606	ENSP00000301873	157	81	4.9656e-08	1.02998e-05
9606	ENSP00000320768	158	86	2.5661398248e-13	2.07471296845694
9606	ENSP00000356468	159	44	8.123142970908e-12	0.0862415384944996
9606	ENSP00000296252	160	56	1.276431552e-12	0.589171506361376
9606	ENSP00000373058	161	75	4.7900191846572e-07	1.8417245434006e-06
9606	ENSP00000339001	162	75	4.7900191846572e-07	1.8417245434006e-06
9606	ENSP00000263795	163	47	3.99e-10	0.0024181428
9606	ENSP00000298048	164	80	2.25e-10	0.004432077888
9606	ENSP00000312995	165	52	3.477e-09	0.00029148906
9606	ENSP00000013070	166	52	1.53432290755655e-09	0.000710421045023878
9606	ENSP00000301071	167	82	3.56697239851055e-09	0.000374718355628819
9606	ENSP00000348527	168	76	3.48e-10	0.0044859836
9606	ENSP00000248437	169	81	1.0938427852796e-08	0.00015299484987292
9606	ENSP00000368104	171	88	0.00620342016466834	4.0976854128e-10
9606	ENSP00000242577	172	4	2.87126862569466e-09	0.00115944622621017
9606	ENSP00000264954	173	9	3.508401569265e-12	1.01253805736992
9606	ENSP00000359958	174	40	3.0752421578736e-10	0.0125714973248039
9606	ENSP00000259406	175	81	9.144e-09	0.000431282475
9606	ENSP00000305556	176	74	8.09210304e-10	0.0049957372850248
9606	ENSP00000430505	177	90	1.05684698057796e-10	0.0387903614284125
9606	ENSP00000324944	178	45	1.1178568099305e-11	0.400592597789396
9606	ENSP00000266754	179	87	1.10427e-07	4.1531749e-05
9606	ENSP00000227758	180	91	3.36543722348378e-06	1.39140750438488e-06
9606	ENSP00000310800	181	98	2.0307647017686e-10	0.0230764799544197
9606	ENSP00000356319	182	87	5.99575905451992e-10	0.00843517423078577
9606	ENSP00000341289	183	79	2.25435e-07	2.3472064e-05
9606	ENSP00000253462	184	50	2.019e-09	0.003018376415
9606	ENSP00000326042	185	81	1.2004594945145e-08	0.000547687841766446
9606	ENSP00000331831	186	99	1.557636884375e-09	0.00488451414272462
9606	ENSP00000355512	187	8	2.2010947586496e-10	0.0362400578950346
9606	ENSP00000355517	188	8	2.2010947586496e-10	0.0362400578950346
9606	ENSP00000254322	189	89	5.4538885562238e-08	0.000156938236740656
9606	ENSP00000323300	190	90	3.83816e-07	2.373462e-05
9606	ENSP00000352111	191	68	9.630594355164e-11	0.0961296103352418
9606	ENSP00000311032	192	81	6.67579902634849e-07	1.44429360310949e-05
9606	ENSP00000262394	193	80	5.14422666532698e-10	0.0354605995132876
9606	ENSP00000263955	194	77	2.4590067162889e-08	0.000785772810090554
9606	ENSP00000367471	195	97	8.32101708139854e-08	0.000237905334505481
9606	ENSP00000462945	196	0	1.9950023625e-09	0.00999259697614484
9606	ENSP00000307143	197	52	9.3740279805816e-10	0.0233635413374972
9606	ENSP00000319170	198	58	4.6250700395622e-11	0.543671441301741
9606	ENSP00000262293	199	98	1.1958e-08	0.002199505174
9606	ENSP00000359393	200	91	6.4317058e-11	0.440003938377397
9606	ENSP00000294172	201	0	5.30993577090768e-10	0.0565512223236904
9606	ENSP00000230056	202	47	4.1040977721462e-11	0.767997311609797
9606	ENSP00000255305	203	97	6.64551686805437e-09	0.00477618773344438
9606	ENSP00000358778	204	99	2.1035299430736e-09	0.0155862407699783
